id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
fartboy,$fartboy,Fartboy,https://coin-images.coingecko.com/coins/images/53829/large/91IYNhRrJBL._UF1000_1000_QL80_.jpg?1737555683,0.00940895,9372573,1198,9372573,346561.0,0.00973523,0.00906298,-4.441120447061e-05,-0.46979,-92183.17786718532,-0.97396,999386918.5203019,999386918.5203019,999440457.98,0.194444,-95.177,2025-02-13T10:22:27.547Z,0.00686589,36.58869,2026-04-07T14:46:05.686Z,,2026-06-20T00:04:45.287Z
omega-labs,sn24,OMEGA Labs,https://coin-images.coingecko.com/coins/images/66367/large/sn24.png?1749254813,1.99,9357208,1199,9357208,106341.0,2.08,1.93,-0.0918978412767566,-4.41057,-372789.52034034766,-3.83134,4710430.468172142,4710430.468172142,21000000.0,7.07,-71.90567,2026-03-25T11:25:41.952Z,0.465522,326.73589,2025-10-10T21:25:44.601Z,,2026-06-20T00:04:45.836Z
moolah,moolah,Moolah,https://coin-images.coingecko.com/coins/images/66397/large/cg.png?1749287766,0.00933105,9346920,1204,9346920,5270.93,0.00940991,0.00927089,-1.1702394505767e-05,-0.12526,5473.44,0.05859,1000000000.0,1000000000.0,1000000000.0,0.03169501,-70.5534,2026-05-09T15:20:29.007Z,0.001676,456.86883,2025-12-19T04:21:02.568Z,,2026-06-20T00:04:45.846Z
stablr-euro,eurr,StablR Euro,https://coin-images.coingecko.com/coins/images/53720/large/stablreuro-logo.png?1737125898,0.54514,9345450,1201,9345450,51.77,0.570198,0.144786,0.400354,276.515,-215491.83826046996,-2.25388,17143032.563007,17143032.563007,,2.5,-78.1793,2026-06-15T09:50:03.469Z,0.00158439,34307.22027,2026-05-26T08:02:24.008Z,,2026-06-20T00:04:52.246Z
infiniticoin,inco,InfinitiCoin,https://coin-images.coingecko.com/coins/images/51435/large/200x200-01.png?1731222722,0.00934184,9341843,1202,9341843,17.74,,,,,,,1000000000.0,1000000000.0,1000000000.0,0.02101208,-55.5406,2025-01-07T11:52:32.269Z,0.00605153,54.37156,2025-10-21T23:38:41.151Z,,2026-06-18T12:09:07.014Z
ishares-russell-1000-growth-etf-ondo-tokenized-etf,iwfon,iShares Russell 1000 Growth ETF (Ondo Tokenized ETF),https://coin-images.coingecko.com/coins/images/68570/large/iwfon_160x160.png?1756106267,492.09,9340288,1203,9340288,56371.0,492.38,490.57,1.24,0.25212,28712.0,0.30835,18980.97713894176,18980.97713894176,,537.58,-8.46275,2026-06-01T08:30:47.840Z,407.37,20.79477,2026-03-31T00:10:45.845Z,,2026-06-20T00:04:46.429Z
sonic-svm,sonic,Sonic SVM,https://coin-images.coingecko.com/coins/images/53061/large/Token.png?1735169618,0.02575656,9273913,1206,61826085,1372684.0,0.02632206,0.02532186,-0.00034857607193409,-1.33528,-132477.85780752264,-1.40838,360000000.0,2400000000.0,2400000000.0,1.23,-97.91372,2025-01-08T04:26:11.465Z,0.02458201,4.74215,2026-06-10T22:25:47.721Z,,2026-06-20T00:04:45.237Z
avalon-2,avl,Avalon,https://coin-images.coingecko.com/coins/images/54119/large/AV.png?1738314011,0.02768205,9242102,1221,27931041,797832.0,0.02855213,0.0259196,-0.000310572406603392,-1.10948,-90125.43536293879,-0.96574,330890001.0,1000000000.0,1000000000.0,0.787073,-96.49505,2025-03-08T02:15:44.824Z,0.02381852,15.8195,2026-03-30T00:35:25.497Z,,2026-06-20T00:04:51.299Z
dymension,dym,Dymension,https://coin-images.coingecko.com/coins/images/34182/large/dym.png?1704253006,0.01690211,9239083,1208,18016835,3683317.0,0.01709784,0.01651786,3.158e-05,0.18717,-21352.2119201608,-0.23057,547399165.0,1067465250.0,,8.5,-99.80129,2024-02-14T14:29:43.198Z,0.01431754,18.00488,2026-06-06T04:41:03.335Z,,2026-06-20T00:04:48.990Z
stable-coin-2,sbc,Stable Coin,https://coin-images.coingecko.com/coins/images/68416/large/sbc-mark.png?1755691990,0.999516,9220291,1207,9220291,24326.0,0.999934,0.999399,-0.000172688116215736,-0.01727,606922.0,7.04627,9225615.55340243,9225615.55340243,,1.006,-0.67946,2026-03-01T14:05:32.461Z,0.988905,1.0636,2026-06-07T22:20:46.967Z,,2026-06-20T00:04:58.335Z
